"TIME_ID","DAY_NAME","DAY_NUMBER_IN_WEEK","DAY_NUMBER_IN_MONTH","CALENDAR_WEEK_NUMBER","FISCAL_WEEK_NUMBER","WEEK_ENDING_DAY","WEEK_ENDING_DAY_ID","CALENDAR_MONTH_NUMBER","FISCAL_MONTH_NUMBER","CALENDAR_MONTH_DESC","CALENDAR_MONTH_ID","FISCAL_MONTH_DESC","FISCAL_MONTH_ID","DAYS_IN_CAL_MONTH","DAYS_IN_FIS_MONTH","END_OF_CAL_MONTH","END_OF_FIS_MONTH","CALENDAR_MONTH_NAME","FISCAL_MONTH_NAME","CALENDAR_QUARTER_DESC","CALENDAR_QUARTER_ID","FISCAL_QUARTER_DESC","FISCAL_QUARTER_ID","DAYS_IN_CAL_QUARTER","DAYS_IN_FIS_QUARTER","END_OF_CAL_QUARTER","END_OF_FIS_QUARTER","CALENDAR_QUARTER_NUMBER","FISCAL_QUARTER_NUMBER","CALENDAR_YEAR","CALENDAR_YEAR_ID","FISCAL_YEAR","FISCAL_YEAR_ID","DAYS_IN_CAL_YEAR","DAYS_IN_FIS_YEAR","END_OF_CAL_YEAR","END_OF_FIS_YEAR"
2021-01-09,"SATURDAY ",6,9,2,2,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-10,"SUNDAY   ",7,10,2,2,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-11,"MONDAY   ",1,11,2,2,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-12,"TUESDAY  ",2,12,2,2,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-13,"WEDNESDAY",3,13,2,2,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-14,"THURSDAY ",4,14,2,2,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-15,"FRIDAY   ",5,15,3,3,2021-01-16,20210116,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-16,"SATURDAY ",6,16,3,3,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-17,"SUNDAY   ",7,17,3,3,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-18,"MONDAY   ",1,18,3,3,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-19,"TUESDAY  ",2,19,3,3,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-20,"WEDNESDAY",3,20,3,3,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-21,"THURSDAY ",4,21,3,3,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-22,"FRIDAY   ",5,22,4,4,2021-01-23,20210123,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-23,"SATURDAY ",6,23,4,4,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-24,"SUNDAY   ",7,24,4,4,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-25,"MONDAY   ",1,25,4,4,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-26,"TUESDAY  ",2,26,4,4,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-27,"WEDNESDAY",3,27,4,4,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-28,"THURSDAY ",4,28,4,4,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-29,"FRIDAY   ",5,29,5,5,2021-01-30,20210130,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-30,"SATURDAY ",6,30,5,5,2021-02-06,20210206,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-01-31,"SUNDAY   ",7,31,5,5,2021-02-06,20210206,1,1,"JAN-21",202101,"JAN-21",202101,31,31,2021-01-31,2021-01-31,"JANUARY  ","JANUARY  ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-01,"MONDAY   ",1,1,5,5,2021-02-06,20210206,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-02,"TUESDAY  ",2,2,5,5,2021-02-06,20210206,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-03,"WEDNESDAY",3,3,5,5,2021-02-06,20210206,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-04,"THURSDAY ",4,4,5,5,2021-02-06,20210206,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-05,"FRIDAY   ",5,5,6,6,2021-02-06,20210206,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-06,"SATURDAY ",6,6,6,6,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-07,"SUNDAY   ",7,7,6,6,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-08,"MONDAY   ",1,8,6,6,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-09,"TUESDAY  ",2,9,6,6,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-10,"WEDNESDAY",3,10,6,6,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-11,"THURSDAY ",4,11,6,6,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-12,"FRIDAY   ",5,12,7,7,2021-02-13,20210213,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-13,"SATURDAY ",6,13,7,7,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-14,"SUNDAY   ",7,14,7,7,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-15,"MONDAY   ",1,15,7,7,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-16,"TUESDAY  ",2,16,7,7,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-17,"WEDNESDAY",3,17,7,7,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-18,"THURSDAY ",4,18,7,7,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-19,"FRIDAY   ",5,19,8,8,2021-02-20,20210220,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-20,"SATURDAY ",6,20,8,8,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-21,"SUNDAY   ",7,21,8,8,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-22,"MONDAY   ",1,22,8,8,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-23,"TUESDAY  ",2,23,8,8,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-24,"WEDNESDAY",3,24,8,8,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-25,"THURSDAY ",4,25,8,8,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-26,"FRIDAY   ",5,26,9,9,2021-02-27,20210227,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-27,"SATURDAY ",6,27,9,9,2021-03-06,20210306,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-02-28,"SUNDAY   ",7,28,9,9,2021-03-06,20210306,2,2,"FEB-21",202102,"FEB-21",202102,28,28,2021-02-28,2021-02-28,"FEBRUARY ","FEBRUARY ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-01,"MONDAY   ",1,1,9,9,2021-03-06,20210306,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-02,"TUESDAY  ",2,2,9,9,2021-03-06,20210306,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-03,"WEDNESDAY",3,3,9,9,2021-03-06,20210306,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-04,"THURSDAY ",4,4,9,9,2021-03-06,20210306,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-05,"FRIDAY   ",5,5,10,10,2021-03-06,20210306,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-06,"SATURDAY ",6,6,10,10,2021-03-13,20210313,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-07,"SUNDAY   ",7,7,10,10,2021-03-13,20210313,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-08,"MONDAY   ",1,8,10,10,2021-03-13,20210313,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-03-09,"TUESDAY  ",2,9,10,10,2021-03-13,20210313,3,3,"MAR-21",202103,"MAR-21",202103,31,31,2021-03-31,2021-03-31,"MARCH    ","MARCH    ","Q1-21",20211,"Q1-21",20211,90,90,2021-03-31,2021-03-31,1,1,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-15,"THURSDAY ",4,15,15,15,2021-04-17,20210417,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-16,"FRIDAY   ",5,16,16,16,2021-04-17,20210417,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-17,"SATURDAY ",6,17,16,16,2021-04-24,20210424,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-18,"SUNDAY   ",7,18,16,16,2021-04-24,20210424,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-19,"MONDAY   ",1,19,16,16,2021-04-24,20210424,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-20,"TUESDAY  ",2,20,16,16,2021-04-24,20210424,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
2021-04-21,"WEDNESDAY",3,21,16,16,2021-04-24,20210424,4,4,"APR-21",202104,"APR-21",202104,30,30,2021-04-30,2021-04-30,"APRIL    ","APRIL    ","Q2-21",20212,"Q2-21",20212,90,90,2021-06-30,2021-06-30,2,2,2021,2021,2021,2021,365,365,2021-12-31,2021-12-31
